dpt_tp,grpcode_tp,tpincno_bi,tgt,offset_tgt
91684,BJA5,1,51200,11.694548577
90787,RCA1BW01,1,227875.4494,10.698452539
90371,CCA2,1,30019.18,11.966732035
910EA,others,1,6712,12.62646147
923EA,DZA2AE03,1,7191,11.65538404
94022,FTA0AF12,1,51040,11.972010339
93381,TYB0AA03,1,107890.85,10.948433117
90781,RCA1,1,3898.5,10.787064682
93921,JLA0AO01,1,3850.9506,11.642180063
91185,HMB0AA03,1,275566.25,11.277232028
91193,ZHA0,1,31000,10.51244053
91199,ADA0AI,1,29638,11.492103024
91282,ADA0,1,22809.507,10.68656272
933EA,ADA0AI,1,184708.42,11.157763288
93287,LKA0AC,1,7280,11.29372086
91199,BTA1AL05,1,58564.44448,11.800480592
90723,FTA1BE02,1,22355,12.178105356
904EA,TYB0AB03,1,31545.768,11.068509194
904EA,BTA2,1,8357.22,11.466526615
91124,JLA0,1,12375.12,10.899014931
91837,others,1,49993.496,12.329165379
902EA,DZA2AB05,1,269299.996,11.10230839
92316,DFM0AE,1,7260.39,11.925232994
90787,FTA0AF12,1,354204,11.544698011
906EA,FTB1AA,1,4944,11.304196459
93290,JPA0,1,36490,11.339301853
922EA,others,1,53969,11.433679552
93117,TYB0AA03,1,27298.992,11.084133679
90786,others,1,8686.008,11.354510067
93286,JLA0AR01,1,5600,11.833933888
93115,LMA1,1,27880.76,12.095954455
93284,CCA2AG,1,49745,12.253403895
917EA,TYB0AC,1,5429.6208,11.097922605
93923,CAA0BP01,1,9900,12.314919472
93292,BJA8,1,300000,11.653199221
904EA,XLA0AB,1,13315.68,11.094293797
923EA,FTA2BM02,1,1702.2,11.924724518
91185,FTA2BM01,1,15304.73,11.81763324
90343,MSB1AA02,1,48878.4,11.361144174
91191,others,1,92770.99,11.108757072
93115,LKA0,1,14000,11.086180193
90925,BTA2AD04,1,3602,11.467284104
93115,FTA2BM01,1,15241,11.357915631
93115,others,1,13654.5888,11.267892183
91830,CCA2,1,22535.7,11.650431498
90345,JHA0,1,2420,10.951252785
906EA,DZA1AN01,1,239187.66631,11.036557256
90347,WEA0,1,20000,10.979248953
93116,RCA1BL01,1,37793,10.936125245
91199,LHB0,1,31050,11.926341985
90955,JLA0,1,611841,11.312148028
93281,SKA1,1,80800,11.217553543
94023,BTA1AL05,1,556557.63,12.216314072
91781,RWA0AH01,1,34030,11.599327762
91833,CCA2AG,1,500000,11.840464708
90925,CCA2AD,1,26275.664,11.116289774
93920,CAA0BB03,1,63321.5,11.30605029
901EA,FTA2AA01,1,182153.62,11.878276988
933EA,QRA0,1,23583.91,11.191006397
90985,CAA0AM01,1,82740.65,11.213379369
90926,BJA5AK01,1,5523.744,11.618351935
90343,ZHA0,1,31183.432,10.206647885
90925,CAA0CM01,1,4538.85,11.296930708
910EA,RCA1BL01,1,63954.688,11.129973222
93451,FTB1AB01,1,27221.5,12.230296479
938EA,CAA0BB10,1,9773,11.114652118
93290,DNA0AF01,1,23037.07,11.32774003
91282,FTB1AD01,1,10629.992,11.315485968
92187,JTV0,1,11701.991,11.493596568
95023,QRA0,1,13760.999,11.354714447
93282,CCA2,1,9302,12.115703086
90960,JLA0,1,48882,11.435734528
91831,CAA0CC,1,127564.9996,11.007798731
90531,DZA1AW02,1,76310.2,11.485249283
91684,FTA2AD01,1,113800,11.39255656
93381,BKA1AG,1,18044.3,11.374869477
91123,BYA0AB,1,500000,11.284246019
92187,TYB0AA02,1,44698.104,10.699961988
93290,CAA0BB01,1,14693.035,11.019816928
934EA,JLA0AO01,1,66459.077709,10.639047651
92982,TYB0AB,1,51812.8,11.083067512
91683,XDA1AM03,1,360545,11.11841698
905EA,BMA0,1,3310.99,11.672359037
91830,DZA1AT05,1,369125.59887,11.665502882
90785,BKA1AH02,1,1000000,11.423115303
905EA,HMB0AA03,1,165778.318,11.313524261
93288,QCB0AB01,1,4797.35,10.734571012
90343,FTC0,1,30220,11.608009373
92316,JHA0,1,27670.98,11.617185207
904EA,XLA0AB10,1,42000,10.866631785
931EA,QRA0AA01,1,13041,10.93525325
93286,HMB0AH,1,9500,11.450574623
91723,SKA1,1,51900,11.930353291
90945,ADA1AA01,1,100000,11.986297788
901EA,BJA5,1,51388.325015,11.277727346
91833,ADA1AE03,1,251796.5,11.163305392
90960,DNA0AF01,1,7387,11.451091888
90343,XDA1AM03,1,32798,11.227168337
918EA,HMB0AH,1,100000,10.625222678
93286,QYA1AE01,1,4229.985,11.71989616
93286,CAA0CH,1,500000,10.773951944
94021,XDA1,1,27541.418,12.079208177
93281,MZA3AS01,1,24407.992,11.126374802
90346,DZA2AC01,1,18080,11.238689752
901EA,BJAD,1,107584.47,11.137039281
91685,FTA2BM01,1,1632.5982,11.154289201
93454,JLA0AR01,1,34000,11.813858199
90345,FTB1AC01,1,50800.018,12.000304963
90786,TYB0AA02,1,134744.022,11.100516444
90955,MZA2AL01,1,59575.96,11.400730103
91831,CAA0BN,1,20500,11.916665191
90520,BKA1AN01,1,58350,11.49658209
92787,RCA1BS02,1,287753.5,11.83590747
93454,BTA2AD03,1,12037.99,11.680333398
91834,BJG0AA01,1,7844.3521223,11.225886023
90785,LFA0,1,102590,10.844964017
93381,TYB0AA01,1,201489.992,10.931438209
91281,QYA1AD02,1,158.724,11.337855708
90176,FTA3AV,1,30638.745,10.349791843
91681,JHA0AE,1,307695.2,11.306887252
917EA,DZA2AB01,1,109668.44,11.177135366
